======================================
Tsumo Rate (自摸率) = tsumo_win_count / win_count
Generated at: 2026-01-09 00:24:22
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
444   	31.28%      	大货车斯马托       	648
445   	31.25%      	庄寒雁                	64
446   	31.25%      	布布                   	48
447   	31.25%      	圣杯碳                	112
448   	31.25%      	中島由貴             	688
449   	31.25%      	YK712                    	224
450   	31.25%      	Magallan                 	240
451   	31.21%      	新手二段里仑       	1211
452   	31.17%      	念起觉迟             	1456
453   	31.17%      	伽罗妹妹             	516
454   	31.17%      	reswa1                   	320
455   	31.17%      	TristeQ                  	304
456   	31.13%      	sfsniper                 	948
457   	31.03%      	马庭芦花             	144
458   	31.03%      	Tolerate                 	112
459   	30.99%      	柳梦璃                	1232
460   	30.97%      	伏黑惠的玉犬       	656
461   	30.93%      	小天天err             	2609
462   	30.92%      	浪漫                   	4762
463   	30.88%      	Alismatika               	272
464   	30.88%      	zdd                      	904
465   	30.86%      	紫翅                   	400
466   	30.85%      	楠枫溪                	464
467   	30.84%      	镜影                   	416
468   	30.84%      	小猪美美             	448
469   	30.82%      	inami                    	720
470   	30.77%      	黎洛溟JM              	112
471   	30.77%      	要来点智乃吗       	176
472   	30.77%      	荔枝好吃             	320
473   	30.77%      	热辣小妈             	336
474   	30.77%      	滚滚浪花             	597
475   	30.77%      	梁森                   	296
476   	30.77%      	尘世                   	208
477   	30.77%      	可爱小灵梦          	64
478   	30.77%      	zinv                     	64
479   	30.77%      	ofor                     	88
480   	30.77%      	huer                     	80
481   	30.77%      	YC大人                 	304
482   	30.77%      	Voyager1969              	112
483   	30.77%      	LZN                      	48
484   	30.72%      	匃洗湘冯             	640
485   	30.71%      	幻雪                   	495
486   	30.70%      	老蒋专点13幺        	2567
487   	30.68%      	沮望                   	384
488   	30.67%      	苹果派                	288
489   	30.66%      	qwe305836                	1112
490   	30.61%      	小E                     	208
491   	30.61%      	亲亲要乐奈          	569
492   	30.60%      	到底是谁             	576
493   	30.57%      	国标小渣渣          	5619
494   	30.56%      	超级同花顺          	160
495   	30.56%      	猫记饭团             	208
496   	30.56%      	明绣                   	176
497   	30.56%      	一瞥而过             	656
498   	30.56%      	SL七叶                 	200
499   	30.53%      	WindHunter               	1424
500   	30.50%      	张丹丹                	3312
501   	30.50%      	青龙吟秋水          	832
502   	30.46%      	pluto                    	1376
503   	30.43%      	淡定哥                	252
504   	30.43%      	姬丝秀忒             	112
505   	30.43%      	xkfy                     	912
506   	30.43%      	linkenwu                 	96
507   	30.43%      	imv                      	96
508   	30.43%      	Middag                   	96
509   	30.41%      	美竹兰                	704
510   	30.40%      	冰印神座             	1247
511   	30.40%      	zumgze                   	496
512   	30.36%      	不知苦                	1122
513   	30.36%      	幻浪                   	256
514   	30.36%      	Archetto                 	256
515   	30.34%      	Kazuradrop               	352
516   	30.33%      	Nff                      	496
517   	30.32%      	彤轩                   	736
518   	30.30%      	Simon919                 	192
519   	30.28%      	夏威夷吉他手       	976
520   	30.23%      	王泥喜法介          	836
521   	30.22%      	Jux                      	6774
522   	30.19%      	常青                   	208
523   	30.14%      	霸霸                   	4140
524   	30.13%      	雅屁                   	2024
525   	30.12%      	元原园神             	2480
526   	30.09%      	Imok                     	512
527   	30.08%      	TedZhu                   	480
528   	30.07%      	国麻萧寒             	8972
529   	30.05%      	尚恩                   	2368
530   	30.04%      	桃蹊柳陌             	7232
531   	30.00%      	辕                      	176
532   	30.00%      	记忆里的炎夏       	64
533   	30.00%      	落樱焚雪             	136
534   	30.00%      	菜包子                	48
535   	30.00%      	破灭之魂             	32
536   	30.00%      	真名不好取          	176
537   	30.00%      	琉璃                   	240
538   	30.00%      	正气明凝             	64
539   	30.00%      	圣堂萌新0v0          	80
540   	30.00%      	十二归一七对       	48
541   	30.00%      	伪随机                	128
542   	30.00%      	三索得了MVP          	32
543   	30.00%      	huaji                    	48
544   	30.00%      	artemis                  	176
545   	30.00%      	Jenceses                 	496
546   	30.00%      	Homeless                 	160
547   	30.00%      	Buhlava                  	333
548   	30.00%      	Ambitious荣             	32
549   	29.97%      	水墨                   	4144
550   	29.96%      	林嘿嘿2号            	945
551   	29.96%      	破破                   	960
552   	29.94%      	烨卉                   	736
553   	29.92%      	佟佟家                	1767
554   	29.91%      	爱の火车票          	1201
555   	29.90%      	angu                     	448
556   	29.88%      	酱油蛙                	3056
557   	29.85%      	lakeside                 	2624
558   	29.84%      	hyperon                  	2224
559   	29.81%      	贰山山                	2384
560   	29.77%      	cx遇恒                 	608
561   	29.76%      	这牌听啥啊          	1328
562   	29.73%      	根派                   	160
563   	29.73%      	zacian                   	176
564   	29.69%      	夜幕遮星             	336
565   	29.66%      	启丶沉卑             	528
566   	29.63%      	手下马上送和       	96
567   	29.63%      	山猫                   	128
568   	29.63%      	大米                   	256
569   	29.63%      	不在勿扰             	96
570   	29.61%      	盛年莫当             	4044
571   	29.60%      	小香茶                	448
572   	29.58%      	章无律                	2480
573   	29.57%      	椎名真白             	567
574   	29.55%      	番茄不能炒蛋       	443
575   	29.55%      	求求人                	144
576   	29.55%      	FanYan                   	176
577   	29.54%      	国标菜鸡             	2016
578   	29.53%      	门清一摸五          	4801
579   	29.49%      	Marygold1                	384
580   	29.48%      	Eric                     	2076
581   	29.48%      	鬼手大师兄          	2376
582   	29.47%      	雨萌小小酱          	3379
583   	29.47%      	自摸七对             	1572
584   	29.46%      	平和                   	476
585   	29.46%      	麻将小白             	5379
586   	29.44%      	Zazaka                   	1903
587   	29.43%      	一起去前行          	3208
588   	29.41%      	樱花Judy               	1196
589   	29.41%      	植物人                	64
590   	29.41%      	提纳里                	240
591   	29.41%      	捷尔                   	80
592   	29.41%      	折一尾纸鸢          	144
593   	29.41%      	otssmyha                 	128
594   	29.41%      	Yu                       	208
595   	29.41%      	Clay斯托瑟            	80
596   	29.37%      	yyyyy                    	1216
597   	29.37%      	voncast                  	672
598   	29.36%      	猫头鹰                	5139
599   	29.35%      	lagrange1013             	3419
600   	29.34%      	魔法少女寻笺       	684
601   	29.34%      	平宫杏奈             	746
