======================================
Win Rate (和牌率) = win_count / total_rounds
Generated at: 2026-01-09 02:19:49
Total players: 2080
======================================

Rank  	Rate        	Player Name              	Rounds
586   	25.66%      	zerong                   	3184
587   	25.66%      	莫莫柴                	304
588   	25.66%      	桀桀子                	608
589   	25.65%      	未济                   	3712
590   	25.64%      	左右                   	819
591   	25.62%      	油泵                   	480
592   	25.62%      	小学生                	160
593   	25.62%      	三索得了MVP          	160
594   	25.62%      	miaomiao                 	1737
595   	25.62%      	大王八                	1296
596   	25.61%      	Toriel                   	328
597   	25.60%      	祥子大叔             	496
598   	25.60%      	TedZhu                   	496
599   	25.60%      	立花明明子          	5856
600   	25.60%      	SunnyWong                	336
601   	25.59%      	业6forever              	7022
602   	25.59%      	lakeside                 	2896
603   	25.58%      	无关烟尘风月       	43
604   	25.57%      	小孙看电视          	2112
605   	25.57%      	倪振民                	176
606   	25.57%      	三只大土鳖          	176
607   	25.56%      	深的蓝                	1248
608   	25.56%      	CHAGA07                  	30527
609   	25.55%      	老蒋专点13幺        	2599
610   	25.55%      	凯旋之愿             	1096
611   	25.54%      	抹茶要楽奈          	368
612   	25.54%      	彤轩                   	736
613   	25.54%      	浪漫                   	4934
614   	25.52%      	依万苏                	6210
615   	25.52%      	琉璃宇宙             	192
616   	25.52%      	eraofexp                 	776
617   	25.51%      	丰川祥子             	345
618   	25.51%      	泡哥                   	3066
619   	25.50%      	CHAGA02                  	30132
620   	25.50%      	花君子                	1965
621   	25.49%      	看雪飘过             	5021
622   	25.49%      	浮光                   	6250
623   	25.49%      	心悦                   	1440
624   	25.48%      	hyperon                  	2272
625   	25.48%      	绫地宁宁             	208
626   	25.48%      	常青                   	208
627   	25.48%      	GyroZeppeli              	208
628   	25.47%      	盛年莫当             	4044
629   	25.46%      	三点水                	7324
630   	25.46%      	宝宝                   	432
631   	25.45%      	随便搞一个          	224
632   	25.45%      	阿寒                   	224
633   	25.42%      	zymmiwang                	472
634   	25.42%      	陈杨飞雅             	1365
635   	25.42%      	是小天才耶          	240
636   	25.41%      	大可乐                	976
637   	25.40%      	倒不推推不倒       	496
638   	25.40%      	羽未                   	622
639   	25.40%      	发牌姬                	1374
640   	25.40%      	沉江月                	126
